River,Spot,Lat,Lon,Year
Pai Min Kok (Anglers') Stream,AN1,22.36486111111111,114.05488888888888,2020
Pai Min Kok (Anglers') Stream,AN2,22.36561111111111,114.05486111111111,2020
Ha Pak Nai Stream,DB1,22.422833333333333,113.94436111111112,2020
Tai Shui Hang Stream,DB2,22.41975,113.93880555555556,2020
Pak Nai Stream,DB3,22.437527777777778,113.94941666666666,2020
Sheung Pak Nai Stream,DB5,22.446305555555554,113.95780555555555,2020
Ngau Hom Sha Stream,DB6,22.45061111111111,113.96427777777778,2020
Tsang Kok Stream,DB8,22.418750000000003,113.92725,2020
Fairview Park Nullah,FVR1,22.482611111111108,114.04577777777777,2020
River Ganges,GR1,22.539,114.14522222222223,2020
River Ganges,GR2,22.528055555555554,114.15444444444445,2020
River Ganges,GR3,22.536944444444448,114.16825,2020
River Indus,IN1,22.517666666666667,114.11508333333333,2020
River Indus,IN2,22.507583333333333,114.13530555555556,2020
River Indus,IN3,22.519805555555553,114.17597222222223,2020
Tseng Lan Shue Stream,JR11,22.32911111111111,114.25002777777777,2020
Tseng Lan Shue Stream,JR3,22.333416666666665,114.23991666666667,2020
Tseng Lan Shue Stream,JR6,22.336,114.24358333333333,2020
Kai Tak River,KN1,22.322388888888888,114.20091666666667,2020
Kai Tak River,KN2,22.326444444444444,114.20116666666667,2020
Kai Tak River,KN3,22.32886111111111,114.19877777777778,2020
Kai Tak River,KN4,22.330916666666667,114.19655555555556,2020
Kai Tak River,KN5,22.333388888888887,114.1943888888889,2020
Kai Tak River,KN7,22.339388888888887,114.19752777777778,2020
Kam Tin River,KT1,22.440083333333334,114.05805555555555,2020
Kam Tin River,KT2,22.442555555555554,114.06083333333333,2020
Kau Wa Keng Stream,KW3,22.343944444444443,114.13569444444445,2020
Shing Mun River,KY1,22.361055555555556,114.2088888888889,2020
Mui Wo River,MW1,22.26613888888889,113.9936388888889,2020
Mui Wo River,MW2,22.26625,113.99413888888888,2020
Mui Wo River,MW3,22.266277777777777,113.99030555555555,2020
Mui Wo River,MW4,22.265083333333333,113.99383333333333,2020
Mui Wo River,MW5,22.269666666666666,113.99711111111111,2020
Ho Chung River,PR1,22.354666666666667,114.25055555555555,2020
Ho Chung River,PR2,22.354944444444445,114.24702777777777,2020
Sha Kok Mei Stream,PR5,22.38447222222222,114.2713611111111,2020
Sha Kok Mei Stream,PR6,22.386222222222223,114.26966666666667,2020
Tai Chung Hau Stream,PR7,22.369833333333332,114.25913888888888,2020
Tai Chung Hau Stream,PR8,22.373555555555555,114.25994444444444,2020
River Beas,RB1,22.485472222222224,114.10286111111111,2020
River Beas,RB2,22.50338888888889,114.10533333333333,2020
River Beas,RB3,22.510638888888888,114.11113888888889,2020
Tung Chung River,TC1,22.277166666666666,113.92991666666667,2020
Tung Chung River,TC2,22.277277777777776,113.93036111111111,2020
Tung Chung River,TC3,22.279249999999998,113.93863888888889,2020
Tuen Mun River,TN1,22.41413888888889,113.97986111111112,2020
Tuen Mun River,TN2,22.414638888888888,113.98433333333334,2020
Tuen Mun River,TN3,22.39436111111111,113.9725,2020
Tuen Mun River,TN4,22.39977777777778,113.97475,2020
Tuen Mun River,TN5,22.397055555555553,113.97327777777778,2020
Tuen Mun River,TN6,22.387777777777778,113.97105555555555,2020
Lam Tsuen River,TR12,22.450527777777776,114.15775000000001,2020
Lam Tsuen River,TR12B,22.461388888888887,114.14711111111112,2020
Lam Tsuen River,TR12C,22.45938888888889,114.146,2020
Lam Tsuen River,TR12D,22.445222222222224,114.13063888888888,2020
Lam Tsuen River,TR12E,22.449527777777778,114.15575000000001,2020
Lam Tsuen River,TR12F,22.449638888888888,114.14325000000001,2020
Lam Tsuen River,TR12G,22.44611111111111,114.13833333333334,2020
Lam Tsuen River,TR12H,22.445833333333333,114.12872222222222,2020
Lam Tsuen River,TR12I,22.45063888888889,114.17205555555556,2020
Tai Po River,TR13,22.440194444444444,114.16633333333334,2020
Tai Po Kau Stream,TR14,22.436305555555556,114.1876388888889,2020
Shing Mun River,TR17,22.396527777777777,114.19483333333334,2020
Shing Mun River,TR17L,22.392083333333332,114.2,2020
Shing Mun River,TR19,22.375083333333333,114.18055555555556,2020
Shing Mun River,TR19A,22.377222222222223,114.17188888888889,2020
Shing Mun River,TR19C,22.37761111111111,114.17925000000001,2020
Shing Mun River,TR19I,22.387694444444445,114.19925,2020
Shing Mun River,TR20B,22.361888888888892,114.16955555555556,2020
Shing Mun River,TR23A,22.383916666666668,114.21025,2020
Shing Mun River,TR23L,22.380583333333334,114.21102777777779,2020
Shan Liu Stream,TR4,22.47158333333333,114.22177777777777,2020
Tung Tze Stream,TR6,22.465305555555556,114.20833333333334,2020
Tin Shui Wai Nullah,TSR1,22.446444444444445,113.99733333333333,2020
Tin Shui Wai Nullah,TSR2,22.429444444444446,113.99544444444444,2020
Sam Dip Tam Stream,TW1,22.383805555555554,114.124,2020
Sam Dip Tam Stream,TW2,22.379333333333335,114.12424999999999,2020
Sam Dip Tam Stream,TW3,22.376694444444446,114.12333333333332,2020
Yuen Long Creek,YL1,22.438777777777776,114.02583333333334,2020
Yuen Long Creek,YL2,22.438916666666668,114.02619444444444,2020
Yuen Long Creek,YL3,22.448694444444445,114.02586111111111,2020
Yuen Long Creek,YL4,22.448694444444445,114.026,2020
Pai Min Kok (Anglers') Stream,AN1,22.36486111111111,114.05488888888888,2021
Pai Min Kok (Anglers') Stream,AN2,22.36561111111111,114.05486111111111,2021
Ha Pak Nai Stream,DB1,22.422833333333333,113.94436111111112,2021
Tai Shui Hang Stream,DB2,22.41975,113.93880555555556,2021
Pak Nai Stream,DB3,22.437527777777778,113.94941666666666,2021
Sheung Pak Nai Stream,DB5,22.446305555555554,113.95780555555555,2021
Ngau Hom Sha Stream,DB6,22.45061111111111,113.96427777777778,2021
