 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.30    1188.75  113.4187  23.0146   5.5716     102.0970
      1     123  -62.74    1312.32  113.4428  23.0110   5.3669     102.2239
      1     245  -45.23    1435.66  113.4668  23.0075   5.1625     102.3599
      1     367  -27.74    1558.76  113.4907  23.0040   4.9583     102.5061
      1     489  -10.29    1681.64  113.5146  23.0004   4.7545     102.6639
      1     611   7.14    1804.31  113.5385  22.9969   4.5509     102.8346
      1     733  24.53    1926.78  113.5623  22.9934   4.3476     103.0203
      1     855  41.90    2049.05  113.5861  22.9899   4.1446     103.2229
      1     977  59.25    2171.15  113.6098  22.9864   3.9419     103.4452
      1    1099  76.56    2293.07  113.6335  22.9828   3.7394     103.6903
      1    1221  93.86    2414.83  113.6572  22.9793   3.5372     103.9621
      1    1343  111.13    2536.45  113.6808  22.9758   3.3353     104.2654
      1    1465  128.39    2657.92  113.7045  22.9723   3.1336     104.6062
      1    1587  145.62    2779.25  113.7280  22.9688   2.9322     104.9923
      1    1709  162.84    2900.47  113.7516  22.9653   2.7311     105.4336
      1    1831  180.05    3021.58  113.7751  22.9617   2.5303     105.9432
      1    1953  197.23    3142.58  113.7987  22.9582   2.3298     106.5385
      1    2075  214.41    3263.50  113.8222  22.9547   2.1298     107.2436
      1    2197  231.57    3384.33  113.8456  22.9512   1.9302     108.0924
      1    2319  248.73    3505.09  113.8691  22.9477   1.7312     109.1341
      1    2441  265.87    3625.79  113.8925  22.9441   1.5330     110.4428
      1    2563  283.01    3746.44  113.9160  22.9406   1.3358     112.1357
      1    2685  300.14    3867.04  113.9394  22.9371   1.1403     114.4080
      1    2807  317.27    3987.62  113.9628  22.9336   0.9473     117.6089
      1    2929  334.39    4108.17  113.9863  22.9300   0.7587     122.4173
      1    3051  351.52    4228.71  114.0097  22.9265   0.5790     130.2940
      1    3173  368.64    4349.25  114.0331  22.9230   0.4194     144.6413
      1    3295  385.76    4469.80  114.0565  22.9194   0.3127     171.9480
      1    3417  402.89    4590.36  114.0799  22.9159   0.3175     -150.7541
      1    3539  420.02    4710.96  114.1033  22.9123   0.4303     -124.6202
      1    3661  437.16    4831.59  114.1267  22.9088   0.5922     -110.9522
      1    3783  454.30    4952.27  114.1502  22.9052   0.7731     -103.3889
      1    3905  471.45    5073.01  114.1736  22.9017   0.9624     -98.7378
      1    4027  488.61    5193.81  114.1970  22.8981   1.1560     -95.6244
      1    4149  505.79    5314.69  114.2205  22.8945   1.3521     -93.4051
      1    4271  522.97    5435.67  114.2440  22.8909   1.5498     -91.7466
      1    4393  540.17    5556.73  114.2675  22.8874   1.7486     -90.4613
      1    4515  557.39    5677.91  114.2910  22.8838   1.9483     -89.4363
      1    4637  574.62    5799.20  114.3145  22.8802   2.1486     -88.5998
      1    4759  591.87    5920.62  114.3381  22.8766   2.3495     -87.9039
      1    4881  609.13    6042.18  114.3617  22.8730   2.5508     -87.3158
      1    5003  626.42    6163.89  114.3853  22.8693   2.7525     -86.8119
      1    5125  643.74    6285.75  114.4089  22.8657   2.9546     -86.3752
      1    5247  661.07    6407.78  114.4326  22.8621   3.1570     -85.9928
      1    5369  678.43    6529.99  114.4563  22.8584   3.3598     -85.6551
      1    5491  695.82    6652.38  114.4800  22.8548   3.5629     -85.3544
      1    5613  713.24    6774.97  114.5038  22.8511   3.7663     -85.0848
      1    5735  730.69    6897.77  114.5276  22.8474   3.9701     -84.8416
      1    5857  748.16    7020.79  114.5515  22.8437   4.1742     -84.6209
      1    6000  768.69    7165.27  114.5795  22.8394   4.4139     -84.3867
    119       1  35.54    1165.15  113.4138  22.9937   5.5717     102.0940
    119     123  53.10    1288.72  113.4378  22.9902   5.3669     102.2208
    119     245  70.62    1412.06  113.4618  22.9867   5.1625     102.3567
    119     367  88.11    1535.16  113.4857  22.9831   4.9584     102.5029
    119     489  105.57    1658.04  113.5096  22.9796   4.7545     102.6605
    119     611  122.99    1780.71  113.5335  22.9761   4.5509     102.8311
    119     733  140.39    1903.17  113.5573  22.9726   4.3477     103.0166
    119     855  157.76    2025.45  113.5811  22.9690   4.1447     103.2192
    119     977  175.11    2147.54  113.6048  22.9655   3.9419     103.4413
    119    1099  192.43    2269.47  113.6285  22.9620   3.7395     103.6862
    119    1221  209.73    2391.23  113.6522  22.9585   3.5373     103.9578
    119    1343  227.01    2512.84  113.6758  22.9550   3.3353     104.2609
    119    1465  244.27    2634.31  113.6994  22.9515   3.1336     104.6016
    119    1587  261.51    2755.64  113.7230  22.9479   2.9322     104.9874
    119    1709  278.73    2876.86  113.7466  22.9444   2.7311     105.4284
    119    1831  295.93    2997.96  113.7701  22.9409   2.5303     105.9376
    119    1953  313.13    3118.97  113.7936  22.9374   2.3299     106.5326
    119    2075  330.31    3239.88  113.8171  22.9339   2.1298     107.2373
    119    2197  347.47    3360.71  113.8406  22.9304   1.9302     108.0855
    119    2319  364.63    3481.47  113.8641  22.9268   1.7312     109.1265
    119    2441  381.78    3602.17  113.8875  22.9233   1.5330     110.4344
    119    2563  398.92    3722.81  113.9109  22.9198   1.3358     112.1262
    119    2685  416.06    3843.42  113.9344  22.9163   1.1403     114.3971
    119    2807  433.19    3963.99  113.9578  22.9127   0.9473     117.5960
    119    2929  450.31    4084.54  113.9812  22.9092   0.7587     122.4017
    119    3051  467.44    4205.08  114.0046  22.9057   0.5789     130.2745
    119    3173  484.57    4325.62  114.0280  22.9021   0.4193     144.6174
    119    3295  501.69    4446.17  114.0514  22.8986   0.3125     171.9279
    119    3417  518.82    4566.73  114.0748  22.8951   0.3173     -150.7525
    119    3539  535.96    4687.33  114.0982  22.8915   0.4301     -124.6085
    119    3661  553.10    4807.96  114.1216  22.8880   0.5921     -110.9405
    119    3783  570.25    4928.63  114.1451  22.8844   0.7730     -103.3791
    119    3905  587.40    5049.37  114.1685  22.8808   0.9623     -98.7296
    119    4027  604.56    5170.17  114.1920  22.8773   1.1559     -95.6176
    119    4149  621.74    5291.06  114.2154  22.8737   1.3520     -93.3993
    119    4271  638.93    5412.03  114.2389  22.8701   1.5497     -91.7416
    119    4393  656.13    5533.09  114.2624  22.8665   1.7486     -90.4570
    119    4515  673.35    5654.27  114.2859  22.8629   1.9482     -89.4326
    119    4637  690.58    5775.56  114.3094  22.8593   2.1485     -88.5965
    119    4759  707.84    5896.98  114.3330  22.8557   2.3494     -87.9011
    119    4881  725.11    6018.54  114.3566  22.8521   2.5507     -87.3133
    119    5003  742.40    6140.24  114.3802  22.8485   2.7524     -86.8097
    119    5125  759.72    6262.10  114.4038  22.8449   2.9545     -86.3732
    119    5247  777.06    6384.13  114.4275  22.8412   3.1569     -85.9911
    119    5369  794.42    6506.34  114.4512  22.8376   3.3597     -85.6535
    119    5491  811.81    6628.73  114.4749  22.8339   3.5628     -85.3530
    119    5613  829.23    6751.32  114.4987  22.8303   3.7663     -85.0836
    119    5735  846.68    6874.12  114.5225  22.8266   3.9701     -84.8405
    119    5857  864.16    6997.13  114.5463  22.8229   4.1742     -84.6199
    119    6000  884.69    7141.61  114.5743  22.8186   4.4138     -84.3859
    237       1  151.38    1141.55  113.4088  22.9729   5.5717     102.0910
    237     123  168.94    1265.12  113.4328  22.9694   5.3670     102.2177
    237     245  186.46    1388.45  113.4568  22.9658   5.1625     102.3536
    237     367  203.95    1511.55  113.4808  22.9623   4.9584     102.4996
    237     489  221.42    1634.43  113.5047  22.9588   4.7545     102.6571
    237     611  238.85    1757.10  113.5285  22.9552   4.5510     102.8276
    237     733  256.25    1879.57  113.5523  22.9517   4.3477     103.0130
    237     855  273.63    2001.84  113.5761  22.9482   4.1447     103.2154
    237     977  290.97    2123.93  113.5998  22.9447   3.9420     103.4374
    237    1099  308.30    2245.85  113.6235  22.9412   3.7395     103.6822
    237    1221  325.60    2367.61  113.6472  22.9376   3.5373     103.9536
    237    1343  342.88    2489.22  113.6708  22.9341   3.3353     104.2565
    237    1465  360.15    2610.69  113.6944  22.9306   3.1337     104.5969
    237    1587  377.39    2732.03  113.7180  22.9271   2.9323     104.9825
    237    1709  394.61    2853.24  113.7416  22.9236   2.7312     105.4232
    237    1831  411.82    2974.35  113.7651  22.9201   2.5303     105.9321
    237    1953  429.02    3095.35  113.7886  22.9166   2.3299     106.5267
    237    2075  446.20    3216.26  113.8121  22.9130   2.1298     107.2309
    237    2197  463.37    3337.09  113.8356  22.9095   1.9302     108.0786
    237    2319  480.53    3457.85  113.8590  22.9060   1.7312     109.1190
    237    2441  497.68    3578.54  113.8825  22.9025   1.5330     110.4260
    237    2563  514.83    3699.19  113.9059  22.8990   1.3358     112.1167
    237    2685  531.97    3819.79  113.9293  22.8954   1.1403     114.3862
    237    2807  549.10    3940.36  113.9527  22.8919   0.9473     117.5832
    237    2929  566.23    4060.91  113.9761  22.8884   0.7587     122.3861
    237    3051  583.36    4181.45  113.9995  22.8849   0.5789     130.2550
    237    3173  600.49    4301.99  114.0229  22.8813   0.4192     144.5935
    237    3295  617.62    4422.54  114.0463  22.8778   0.3123     171.9078
    237    3417  634.76    4543.10  114.0697  22.8742   0.3171     -150.7509
    237    3539  651.89    4663.69  114.0932  22.8707   0.4299     -124.5967
    237    3661  669.04    4784.32  114.1166  22.8671   0.5920     -110.9289
    237    3783  686.19    4905.00  114.1400  22.8636   0.7729     -103.3693
    237    3905  703.35    5025.73  114.1634  22.8600   0.9622     -98.7215
    237    4027  720.51    5146.53  114.1869  22.8565   1.1558     -95.6108
    237    4149  737.69    5267.41  114.2103  22.8529   1.3519     -93.3936
    237    4271  754.88    5388.38  114.2338  22.8493   1.5496     -91.7367
    237    4393  772.09    5509.45  114.2573  22.8457   1.7485     -90.4528
    237    4515  789.31    5630.62  114.2808  22.8421   1.9481     -89.4289
    237    4637  806.55    5751.91  114.3043  22.8385   2.1485     -88.5933
    237    4759  823.81    5873.33  114.3279  22.8349   2.3493     -87.8982
    237    4881  841.08    5994.88  114.3514  22.8313   2.5506     -87.3107
    237    5003  858.38    6116.59  114.3750  22.8277   2.7523     -86.8074
    237    5125  875.70    6238.45  114.3987  22.8241   2.9544     -86.3712
    237    5247  893.04    6360.47  114.4223  22.8204   3.1569     -85.9893
    237    5369  910.41    6482.68  114.4460  22.8168   3.3596     -85.6520
    237    5491  927.80    6605.07  114.4698  22.8131   3.5628     -85.3516
    237    5613  945.23    6727.66  114.4935  22.8095   3.7662     -85.0823
    237    5735  962.68    6850.46  114.5173  22.8058   3.9700     -84.8394
    237    5857  980.16    6973.47  114.5412  22.8021   4.1741     -84.6190
    237    6000  1000.70    7117.95  114.5692  22.7978   4.4138     -84.3851
    355       1  267.21    1117.94  113.4038  22.9521   5.5718     102.0880
    355     123  284.77    1241.52  113.4279  22.9485   5.3670     102.2146
    355     245  302.30    1364.85  113.4518  22.9450   5.1626     102.3504
    355     367  319.80    1487.95  113.4758  22.9415   4.9584     102.4963
    355     489  337.26    1610.82  113.4997  22.9379   4.7546     102.6537
    355     611  354.70    1733.49  113.5235  22.9344   4.5510     102.8242
    355     733  372.11    1855.95  113.5473  22.9309   4.3477     103.0094
    355     855  389.48    1978.23  113.5711  22.9274   4.1447     103.2117
    355     977  406.84    2100.32  113.5948  22.9238   3.9420     103.4335
    355    1099  424.17    2222.24  113.6185  22.9203   3.7395     103.6781
    355    1221  441.47    2344.00  113.6422  22.9168   3.5373     103.9494
    355    1343  458.76    2465.60  113.6658  22.9133   3.3354     104.2521
    355    1465  476.02    2587.07  113.6894  22.9098   3.1337     104.5923
    355    1587  493.27    2708.41  113.7130  22.9063   2.9323     104.9776
    355    1709  510.50    2829.62  113.7365  22.9028   2.7312     105.4181
    355    1831  527.71    2950.72  113.7601  22.8992   2.5304     105.9266
    355    1953  544.91    3071.72  113.7836  22.8957   2.3299     106.5208
    355    2075  562.09    3192.63  113.8071  22.8922   2.1298     107.2246
    355    2197  579.27    3313.46  113.8305  22.8887   1.9302     108.0717
    355    2319  596.43    3434.22  113.8540  22.8852   1.7312     109.1114
    355    2441  613.59    3554.91  113.8774  22.8817   1.5330     110.4176
    355    2563  630.73    3675.56  113.9008  22.8781   1.3359     112.1072
    355    2685  647.88    3796.16  113.9243  22.8746   1.1403     114.3753
    355    2807  665.01    3916.73  113.9477  22.8711   0.9473     117.5703
    355    2929  682.15    4037.28  113.9711  22.8676   0.7587     122.3705
    355    3051  699.28    4157.82  113.9945  22.8640   0.5788     130.2354
    355    3173  716.42    4278.35  114.0179  22.8605   0.4191     144.5696
    355    3295  733.55    4398.90  114.0413  22.8570   0.3122     171.8876
    355    3417  750.69    4519.46  114.0647  22.8534   0.3169     -150.7493
    355    3539  767.83    4640.05  114.0881  22.8499   0.4298     -124.5849
    355    3661  784.97    4760.68  114.1115  22.8463   0.5918     -110.9172
    355    3783  802.13    4881.35  114.1349  22.8428   0.7728     -103.3594
