 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  313.55    -1396.62  113.6423  22.6497   3.0052     103.6263
      1     123  335.62    -1274.11  113.6542  22.6479   2.9028     103.7975
      1     245  357.64    -1151.83  113.6662  22.6462   2.8006     103.9805
      1     367  379.63    -1029.78  113.6781  22.6445   2.6986     104.1767
      1     489  401.57    -907.93  113.6899  22.6427   2.5968     104.3876
      1     611  423.48    -786.28  113.7018  22.6410   2.4952     104.6149
      1     733  445.36    -664.82  113.7137  22.6393   2.3938     104.8608
      1     855  467.20    -543.55  113.7255  22.6375   2.2926     105.1276
      1     977  489.01    -422.45  113.7373  22.6358   2.1915     105.4183
      1    1099  510.79    -301.51  113.7491  22.6341   2.0907     105.7362
      1    1221  532.54    -180.72  113.7609  22.6324   1.9900     106.0854
      1    1343  554.27    -60.08  113.7726  22.6306   1.8895     106.4709
      1    1465  575.97    60.43  113.7844  22.6289   1.7892     106.8987
      1    1587  597.65    180.82  113.7961  22.6272   1.6891     107.3763
      1    1709  619.31    301.09  113.8079  22.6255   1.5892     107.9129
      1    1831  640.95    421.25  113.8196  22.6237   1.4896     108.5203
      1    1953  662.58    541.32  113.8313  22.6220   1.3902     109.2136
      1    2075  684.18    661.30  113.8430  22.6203   1.2911     110.0122
      1    2197  705.77    781.21  113.8547  22.6186   1.1923     110.9420
      1    2319  727.35    901.04  113.8664  22.6169   1.0940     112.0380
      1    2441  748.92    1020.82  113.8781  22.6152   0.9962     113.3484
      1    2563  770.48    1140.56  113.8897  22.6134   0.8990     114.9416
      1    2685  792.03    1260.25  113.9014  22.6117   0.8027     116.9171
      1    2807  813.58    1379.91  113.9131  22.6100   0.7077     119.4252
      1    2929  835.12    1499.56  113.9248  22.6083   0.6144     122.7011
      1    3051  856.67    1619.19  113.9364  22.6066   0.5239     127.1265
      1    3173  878.21    1738.83  113.9481  22.6048   0.4377     133.3430
      1    3295  899.75    1858.47  113.9598  22.6031   0.3591     142.4303
      1    3417  921.29    1978.13  113.9714  22.6014   0.2942     156.0189
      1    3539  942.84    2097.82  113.9831  22.5997   0.2538     175.4373
      1    3661  964.40    2217.55  113.9948  22.5979   0.2501     -161.5264
      1    3783  985.96    2337.32  114.0065  22.5962   0.2845     -141.0802
      1    3905  1007.54    2457.15  114.0181  22.5945   0.3458     -126.4409
      1    4027  1029.12    2577.05  114.0298  22.5927   0.4226     -116.6405
      1    4149  1050.72    2697.02  114.0415  22.5910   0.5080     -109.9801
      1    4271  1072.34    2817.08  114.0532  22.5893   0.5982     -105.2752
      1    4393  1093.97    2937.23  114.0649  22.5875   0.6915     -101.8169
      1    4515  1115.62    3057.49  114.0767  22.5858   0.7868     -99.1848
      1    4637  1137.29    3177.85  114.0884  22.5841   0.8834     -97.1219
      1    4759  1158.98    3298.35  114.1002  22.5823   0.9811     -95.4653
      1    4881  1180.69    3418.97  114.1119  22.5806   1.0795     -94.1073
      1    5003  1202.43    3539.74  114.1237  22.5788   1.1786     -92.9749
      1    5125  1224.20    3660.66  114.1355  22.5771   1.2782     -92.0166
      1    5247  1246.00    3781.74  114.1473  22.5753   1.3782     -91.1954
      1    5369  1267.82    3902.99  114.1591  22.5735   1.4785     -90.4839
      1    5491  1289.68    4024.42  114.1709  22.5718   1.5792     -89.8615
      1    5613  1311.57    4146.04  114.1828  22.5700   1.6803     -89.3125
      1    5735  1333.50    4267.86  114.1947  22.5682   1.7816     -88.8245
      1    5857  1355.46    4389.88  114.2066  22.5665   1.8832     -88.3879
      1    6000  1381.26    4533.19  114.2205  22.5644   2.0026     -87.9312
    123       1  433.12    -1426.10  113.6397  22.6388   3.0052     103.6239
    123     123  455.19    -1303.59  113.6516  22.6371   2.9028     103.7950
    123     245  477.21    -1181.31  113.6635  22.6353   2.8006     103.9780
    123     367  499.20    -1059.26  113.6755  22.6336   2.6986     104.1741
    123     489  521.14    -937.41  113.6873  22.6319   2.5968     104.3849
    123     611  543.05    -815.76  113.6992  22.6301   2.4952     104.6121
    123     733  564.93    -694.30  113.7111  22.6284   2.3938     104.8579
    123     855  586.77    -573.03  113.7229  22.6267   2.2926     105.1247
    123     977  608.58    -451.93  113.7347  22.6250   2.1915     105.4152
    123    1099  630.36    -330.99  113.7465  22.6232   2.0907     105.7330
    123    1221  652.11    -210.20  113.7583  22.6215   1.9900     106.0821
    123    1343  673.84    -89.56  113.7700  22.6198   1.8895     106.4674
    123    1465  695.54    30.95  113.7818  22.6181   1.7892     106.8951
    123    1587  717.22    151.34  113.7935  22.6163   1.6891     107.3725
    123    1709  738.88    271.61  113.8053  22.6146   1.5892     107.9089
    123    1831  760.52    391.77  113.8170  22.6129   1.4895     108.5161
    123    1953  782.14    511.84  113.8287  22.6112   1.3902     109.2091
    123    2075  803.75    631.82  113.8404  22.6095   1.2911     110.0074
    123    2197  825.34    751.73  113.8521  22.6077   1.1923     110.9369
    123    2319  846.92    871.57  113.8638  22.6060   1.0940     112.0325
    123    2441  868.49    991.35  113.8755  22.6043   0.9961     113.3424
    123    2563  890.05    1111.08  113.8871  22.6026   0.8990     114.9350
    123    2685  911.60    1230.77  113.8988  22.6009   0.8027     116.9099
    123    2807  933.15    1350.44  113.9105  22.5992   0.7077     119.4172
    123    2929  954.69    1470.08  113.9221  22.5974   0.6144     122.6921
    123    3051  976.23    1589.72  113.9338  22.5957   0.5238     127.1165
    123    3173  997.77    1709.35  113.9455  22.5940   0.4377     133.3317
    123    3295  1019.31    1829.00  113.9571  22.5923   0.3591     142.4180
    123    3417  1040.86    1948.66  113.9688  22.5905   0.2942     156.0071
    123    3539  1062.40    2068.35  113.9805  22.5888   0.2537     175.4302
    123    3661  1083.96    2188.07  113.9921  22.5871   0.2500     -161.5250
    123    3783  1105.52    2307.85  114.0038  22.5854   0.2844     -141.0726
    123    3905  1127.10    2427.68  114.0155  22.5836   0.3458     -126.4315
    123    4027  1148.68    2547.58  114.0272  22.5819   0.4226     -116.6313
    123    4149  1170.28    2667.55  114.0389  22.5802   0.5079     -109.9719
    123    4271  1191.90    2787.60  114.0506  22.5784   0.5982     -105.2679
    123    4393  1213.53    2907.76  114.0623  22.5767   0.6915     -101.8105
    123    4515  1235.18    3028.01  114.0740  22.5750   0.7867     -99.1792
    123    4637  1256.84    3148.38  114.0858  22.5732   0.8834     -97.1169
    123    4759  1278.54    3268.87  114.0975  22.5715   0.9811     -95.4608
    123    4881  1300.25    3389.50  114.1093  22.5697   1.0795     -94.1033
    123    5003  1321.99    3510.27  114.1211  22.5680   1.1786     -92.9712
    123    5125  1343.76    3631.18  114.1328  22.5662   1.2781     -92.0133
    123    5247  1365.55    3752.26  114.1446  22.5645   1.3781     -91.1923
    123    5369  1387.38    3873.51  114.1565  22.5627   1.4785     -90.4811
    123    5491  1409.24    3994.94  114.1683  22.5609   1.5792     -89.8589
    123    5613  1431.13    4116.56  114.1802  22.5592   1.6802     -89.3100
    123    5735  1453.05    4238.38  114.1920  22.5574   1.7815     -88.8223
    123    5857  1475.02    4360.41  114.2039  22.5556   1.8831     -88.3858
    123    6000  1500.81    4503.72  114.2179  22.5535   2.0026     -87.9292
    245       1  552.69    -1455.58  113.6371  22.6280   3.0052     103.6215
    245     123  574.76    -1333.08  113.6490  22.6262   2.9028     103.7925
    245     245  596.78    -1210.80  113.6609  22.6245   2.8006     103.9754
    245     367  618.77    -1088.74  113.6728  22.6228   2.6986     104.1714
    245     489  640.71    -966.89  113.6847  22.6210   2.5968     104.3822
    245     611  662.62    -845.24  113.6966  22.6193   2.4952     104.6093
    245     733  684.50    -723.78  113.7084  22.6176   2.3938     104.8550
    245     855  706.34    -602.51  113.7203  22.6158   2.2926     105.1217
    245     977  728.15    -481.41  113.7321  22.6141   2.1915     105.4121
    245    1099  749.93    -360.47  113.7439  22.6124   2.0907     105.7298
    245    1221  771.68    -239.68  113.7557  22.6107   1.9900     106.0787
    245    1343  793.41    -119.04  113.7674  22.6089   1.8895     106.4639
    245    1465  815.11     1.47  113.7792  22.6072   1.7892     106.8914
    245    1587  836.79    121.86  113.7909  22.6055   1.6891     107.3686
    245    1709  858.45    242.13  113.8026  22.6038   1.5892     107.9049
    245    1831  880.09    362.29  113.8144  22.6021   1.4895     108.5118
    245    1953  901.71    482.36  113.8261  22.6003   1.3901     109.2046
    245    2075  923.31    602.34  113.8378  22.5986   1.2910     110.0026
    245    2197  944.90    722.25  113.8495  22.5969   1.1923     110.9317
    245    2319  966.48    842.09  113.8612  22.5952   1.0940     112.0270
    245    2441  988.05    961.87  113.8728  22.5935   0.9961     113.3364
    245    2563  1009.61    1081.60  113.8845  22.5917   0.8990     114.9285
    245    2685  1031.16    1201.30  113.8962  22.5900   0.8027     116.9027
    245    2807  1052.71    1320.96  113.9078  22.5883   0.7076     119.4093
    245    2929  1074.25    1440.61  113.9195  22.5866   0.6144     122.6832
    245    3051  1095.79    1560.24  113.9312  22.5849   0.5238     127.1064
    245    3173  1117.33    1679.88  113.9428  22.5832   0.4376     133.3203
    245    3295  1138.87    1799.52  113.9545  22.5814   0.3590     142.4057
    245    3417  1160.42    1919.18  113.9662  22.5797   0.2941     155.9954
    245    3539  1181.97    2038.87  113.9778  22.5780   0.2536     175.4231
    245    3661  1203.52    2158.60  113.9895  22.5763   0.2499     -161.5237
    245    3783  1225.09    2278.37  114.0012  22.5745   0.2843     -141.0650
    245    3905  1246.66    2398.20  114.0129  22.5728   0.3457     -126.4220
    245    4027  1268.24    2518.10  114.0246  22.5711   0.4225     -116.6222
    245    4149  1289.84    2638.07  114.0363  22.5693   0.5079     -109.9636
    245    4271  1311.46    2758.13  114.0480  22.5676   0.5981     -105.2607
    245    4393  1333.09    2878.28  114.0597  22.5659   0.6914     -101.8041
    245    4515  1354.73    2998.54  114.0714  22.5641   0.7867     -99.1735
    245    4637  1376.40    3118.91  114.0831  22.5624   0.8834     -97.1119
    245    4759  1398.09    3239.40  114.0949  22.5606   0.9810     -95.4562
    245    4881  1419.81    3360.02  114.1066  22.5589   1.0795     -94.0992
    245    5003  1441.55    3480.79  114.1184  22.5571   1.1785     -92.9675
    245    5125  1463.31    3601.71  114.1302  22.5554   1.2781     -92.0099
    245    5247  1485.11    3722.79  114.1420  22.5536   1.3781     -91.1893
    245    5369  1506.93    3844.04  114.1538  22.5519   1.4785     -90.4782
    245    5491  1528.79    3965.47  114.1657  22.5501   1.5792     -89.8563
    245    5613  1550.68    4087.09  114.1775  22.5483   1.6802     -89.3076
    245    5735  1572.61    4208.91  114.1894  22.5466   1.7815     -88.8200
    245    5857  1594.57    4330.94  114.2013  22.5448   1.8831     -88.3837
    245    6000  1620.37    4474.25  114.2152  22.5427   2.0025     -87.9273
    367       1  672.27    -1485.07  113.6345  22.6171   3.0052     103.6191
    367     123  694.33    -1362.56  113.6464  22.6154   2.9028     103.7901
    367     245  716.36    -1240.28  113.6583  22.6137   2.8006     103.9729
    367     367  738.34    -1118.22  113.6702  22.6119   2.6986     104.1688
    367     489  760.29    -996.37  113.6821  22.6102   2.5968     104.3795
    367     611  782.19    -874.72  113.6940  22.6085   2.4952     104.6066
    367     733  804.07    -753.26  113.7058  22.6067   2.3938     104.8522
    367     855  825.91    -631.99  113.7177  22.6050   2.2926     105.1187
    367     977  847.72    -510.88  113.7295  22.6033   2.1915     105.4090
    367    1099  869.50    -389.94  113.7413  22.6015   2.0907     105.7266
    367    1221  891.25    -269.16  113.7530  22.5998   1.9900     106.0754
    367    1343  912.98    -148.51  113.7648  22.5981   1.8895     106.4604
    367    1465  934.68    -28.00  113.7766  22.5964   1.7892     106.8878
    367    1587  956.36    92.38  113.7883  22.5947   1.6891     107.3648
    367    1709  978.02    212.65  113.8000  22.5929   1.5892     107.9008
    367    1831  999.65    332.82  113.8117  22.5912   1.4895     108.5076
    367    1953  1021.28    452.88  113.8235  22.5895   1.3901     109.2000
    367    2075  1042.88    572.87  113.8352  22.5878   1.2910     109.9978
    367    2197  1064.47    692.77  113.8468  22.5861   1.1923     110.9266
    367    2319  1086.05    812.61  113.8585  22.5843   1.0939     112.0214
    367    2441  1107.62    932.39  113.8702  22.5826   0.9961     113.3305
    367    2563  1129.18    1052.13  113.8819  22.5809   0.8989     114.9219
    367    2685  1150.73    1171.82  113.8936  22.5792   0.8027     116.8955
    367    2807  1172.27    1291.48  113.9052  22.5775   0.7076     119.4013
    367    2929  1193.82    1411.13  113.9169  22.5758   0.6143     122.6742
    367    3051  1215.36    1530.76  113.9286  22.5740   0.5237     127.0963
    367    3173  1236.90    1650.40  113.9402  22.5723   0.4376     133.3090
    367    3295  1258.44    1770.04  113.9519  22.5706   0.3589     142.3934
    367    3417  1279.98    1889.71  113.9635  22.5689   0.2940     155.9837
    367    3539  1301.53    2009.40  113.9752  22.5671   0.2536     175.4160
    367    3661  1323.08    2129.12  113.9869  22.5654   0.2498     -161.5223
    367    3783  1344.65    2248.90  113.9986  22.5637   0.2842     -141.0574
    367    3905  1366.22    2368.73  114.0102  22.5620   0.3456     -126.4125
    367    4027  1387.80    2488.62  114.0219  22.5602   0.4225     -116.6130
    367    4149  1409.40    2608.60  114.0336  22.5585   0.5078     -109.9554
    367    4271  1431.02    2728.66  114.0453  22.5568   0.5981     -105.2534
    367    4393  1452.64    2848.81  114.0570  22.5550   0.6914     -101.7977
    367    4515  1474.29    2969.06  114.0688  22.5533   0.7867     -99.1678
    367    4637  1495.96    3089.43  114.0805  22.5515   0.8833     -97.1068
    367    4759  1517.65    3209.93  114.0922  22.5498   0.9810     -95.4517
    367    4881  1539.36    3330.55  114.1040  22.5480   1.0795     -94.0951
    367    5003  1561.10    3451.32  114.1158  22.5463   1.1785     -92.9639
    367    5125  1582.87    3572.24  114.1276  22.5445   1.2781     -92.0066
    367    5247  1604.66    3693.32  114.1394  22.5428   1.3781     -91.1862
    367    5369  1626.49    3814.57  114.1512  22.5410   1.4785     -90.4754
    367    5491  1648.35    3936.00  114.1630  22.5393   1.5792     -89.8537
    367    5613  1670.24    4057.62  114.1749  22.5375   1.6802     -89.3052
    367    5735  1692.16    4179.44  114.1867  22.5357   1.7815     -88.8178
    367    5857  1714.13    4301.47  114.1986  22.5340   1.8831     -88.3816
    367    6000  1739.92    4444.78  114.2126  22.5319   2.0025     -87.9254
    489       1  791.84    -1514.55  113.6319  22.6063   3.0052     103.6167
    489     123  813.91    -1392.04  113.6438  22.6046   2.9028     103.7876
    489     245  835.93    -1269.76  113.6557  22.6028   2.8006     103.9703
    489     367  857.91    -1147.70  113.6676  22.6011   2.6986     104.1662
    489     489  879.86    -1025.85  113.6795  22.5993   2.5968     104.3768
    489     611  901.77    -904.20  113.6914  22.5976   2.4952     104.6038
    489     733  923.64    -782.74  113.7032  22.5959   2.3938     104.8493
    489     855  945.48    -661.47  113.7151  22.5942   2.2926     105.1157
    489     977  967.29    -540.37  113.7269  22.5924   2.1915     105.4059
    489    1099  989.07    -419.43  113.7387  22.5907   2.0906     105.7233
    489    1221  1010.82    -298.64  113.7504  22.5890   1.9900     106.0720
    489    1343  1032.55    -177.99  113.7622  22.5873   1.8895     106.4570
    489    1465  1054.25    -57.48  113.7740  22.5855   1.7892     106.8841
    489    1587  1075.93    62.90  113.7857  22.5838   1.6891     107.3610
    489    1709  1097.58    183.17  113.7974  22.5821   1.5892     107.8968
    489    1831  1119.22    303.34  113.8091  22.5804   1.4895     108.5033
    489    1953  1140.84    423.41  113.8208  22.5787   1.3901     109.1955
    489    2075  1162.45    543.39  113.8325  22.5769   1.2910     109.9930
    489    2197  1184.04    663.29  113.8442  22.5752   1.1923     110.9215
    489    2319  1205.62    783.13  113.8559  22.5735   1.0939     112.0159
    489    2441  1227.18    902.91  113.8676  22.5718   0.9961     113.3245
    489    2563  1248.74    1022.65  113.8793  22.5701   0.8989     114.9154
    489    2685  1270.29    1142.34  113.8909  22.5683   0.8026     116.8883
    489    2807  1291.84    1262.01  113.9026  22.5666   0.7076     119.3933
    489    2929  1313.38    1381.65  113.9143  22.5649   0.6143     122.6653
    489    3051  1334.92    1501.29  113.9259  22.5632   0.5237     127.0862
    489    3173  1356.46    1620.92  113.9376  22.5615   0.4375     133.2977
    489    3295  1378.00    1740.57  113.9493  22.5597   0.3589     142.3810
    489    3417  1399.54    1860.23  113.9609  22.5580   0.2939     155.9719
    489    3539  1421.09    1979.92  113.9726  22.5563   0.2535     175.4088
    489    3661  1442.65    2099.65  113.9843  22.5546   0.2497     -161.5210
    489    3783  1464.21    2219.42  113.9959  22.5528   0.2841     -141.0498
    489    3905  1485.78    2339.25  114.0076  22.5511   0.3455     -126.4031
    489    4027  1507.36    2459.15  114.0193  22.5494   0.4224     -116.6039
