"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-01-07","1","3.1","70","0.21","0.2","<1","<1","12","<1","<50","<0.1","15","100","","<1","470","3","<0.01","84","7.8","7700","null","0.5","<0.01","120","<1","20","<1","2","<1","2.2","0.11","<0.5","0.28","7.9","","0.3","14","<1","<0.02","1.9","<1","1.1","7","0.36","300","70","4.9","<2","18.9","30","3100"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-02-17","1","4.7","150","1","0.29","<1","<1","14","<1","70","<0.1","25","130","","<1","294","6","<0.01","71","6.8","9200","null","0.6","<0.01","260","2","60","<1","2","1","2.9","0.26","<0.5","0.43","7.5","","0.2","12","<1","<0.02","6","<1","1.7","6","0.55","360","60","6.3","<2","17.2","50","7000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-03-23","1","5.8","270","0.24","0.24","<1","1","16","<1","<50","<0.1","20","33","","<1","331","6","<0.01","106","9.1","29000","null","0.6","<0.01","170","3","20","<1","4","1","3.2","0.61","<0.5","0.57","8.3","","0.2","16","<1","<0.02","5.5","<1","1.1","8","0.64","230","58","28.5","2","22.7","30","29000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-04-14","1","1.8","170","0.12","0.09","<1","<1","17","<1","<50","0.1","19","27","","1","158","6","<0.01","99","8.6","20000","null","0.3","<0.01","160","3","20","<1","<2","<1","2.8","0.026","<0.5","0.091","7.6","","0.1","8.5","<1","<0.02","11","<1","0.5","5","0.15","150","44","31.4","<2","22.6","50","8800"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-05-12","1","1.7","250","0.091","0.08","<1","<1","22","<1","<50","<0.1","12","31","","<1","236","3","<0.01","98","8.2","23000","null","0.5","<0.01","320","2","40","<1","<2","<1","1.9","0.043","<0.5","0.12","7.7","","0.1","16","<1","<0.02","1.6","<1","0.4","3","0.14","180","42","14.2","<2","24.4","40","20000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-06-14","1","1.3","240","0.3","0.13","<1","<1","12","<1","120","0.2","10","530","","2","1973","4","<0.01","102","8.5","67000","null","0.5","<0.01","400","5","100","<1","2","1","2","0.099","<0.5","0.16","8.1","","1","17","<1","<0.02","16","<1","0.47","2","0.21","1300","290","37.2","<2","24.2","30","45000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-07-19","1","0.8","150","0.11","0.14","<1","<1","12","<1","120","0.1","8","490","","<1","1632","5","<0.01","99","7.9","31000","null","0.4","<0.01","220","3","30","<1","<2","<1","1.4","0.02","<0.5","0.081","7.9","","0.8","15","<1","<0.02","13","<1","0.36","2","0.13","1100","270","17.4","<2","26.4","40","20000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-08-10","1","2.3","140","0.092","0.29","<1","<1","19","<1","<50","<0.1","6","10","","<1","165","5","<0.01","97","7.5","47000","null","0.3","<0.01","210","1","10","<1","<2","<1","1.2","0.023","0.6","0.099","8","","0.1","18","<1","<0.02","3.7","<1","0.29","2","0.15","120","23","9.8","<2","28.7","30","12000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-09-15","1","1.4","140","0.13","0.49","<1","2","22","<1","950","0.1","7","4500","","<1","12724","4","<0.01","102","8.2","180000","null","0.5","<0.01","160","2","20","<1","4","<1","0.94","0.05","<0.5","0.094","7.3","","7.4","12","<1","<0.02","4.9","<1","0.41","2","0.15","9700","2300","3.7","<2","24.3","20","4100"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2000-10-13","1","1.5","130","0.2","0.53","<1","<1","24","<1","1700","0.2","14","8100","","<1","22987","5","<0.01","87","6.7","29000","null","0.6","<0.01","160","1","30","<1","6","2","0.92","0.1","<0.5","0.14","7.1","","13.9","10","3","<0.02","3.2","<1","0.57","4","0.2","16000","2700","6.8","<2","25","30","6700"
