"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-01-06","1","7.8","<50","0.72","0.05","<1","<1","14","<1","320","<0.1","39","2200","0.3","2","6717","5","<0.01","100","9","160000","null","0.6","<0.01","80","<1","<10","<1","2","3","1","0.11","<0.5","0.1","7.6","<0.2","4.2","12","<1","<0.02","20","<1","1.9","7","0.2","5100","1200","8.8","<2","18.9","20","12000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-02-17","1","1.6","<50","0.079","0.09","<1","<1","18","<1","1300","0.1","48","7900","1","1","16732","4","<0.01","100","8.8","3600","null","0.6","<0.01","<50","<1","10","<1","5","4","0.79","0.01","0.7","0.041","7.9","0.6","11.4","5.8","<1","<0.02","2.7","<1","0.21","2","0.06","15000","2500","1.8","<2","18.5","60","290"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-03-02","1","3.1","<50","0.31","0.05","<1","1","16","<1","1600","0.1","61","8200","27","1","17075","4","<0.01","99","9.8","9000","null","0.7","<0.01","50","<1","<10","<1","6","5","1.2","0.05","<0.5","0.098","8","18","13.7","7.6","<1","<0.02","27","<1","0.92","11","0.26","19000","4900","8.8","<2","12","30","3400"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-04-13","1","3.8","<50","0.23","0.09","<1","<1","19","<1","460","<0.1","29","2200","1.5","1","7045","4","<0.01","103","8.4","180000","null","0.5","<0.01","<50","<1","<10","<1","3","3","1.8","0.089","<0.5","0.081","8.1","1.2","3.9","8","<1","<0.02","3.1","<1","0.68","8","0.13","4800","1200","2.5","<2","24.8","10","9000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-05-09","1","<0.1","<50","0.21","<0.05","<1","<1","19","<1","110","<0.1","4","170","0.6","<1","661","5","<0.01","101","8.3","3900","null","0.3","<0.01","<50","<1","10","<1","<2","1","2","0.011","<0.5","0.046","6.7","<0.2","0.3","9","<1","<0.02","1.2","<1","7.3","9","0.11","560","180","1.1","<2","25.5","30","2700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-06-08","1","<0.1","<50","0.023","<0.05","<1","<1","9","<1","60","<0.1","9","250","2","<1","944","1","<0.01","100","8.3","25000","null","0.4","<0.01","90","<1","<10","<1","<2","<1","0.53","0.011","<0.5","0.058","7.5","<0.2","0.5","15","<1","<0.02","3.4","<1","0.43","2","0.07","810","230","5","<2","24.6","<10","23000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-07-18","1","<0.1","60","0.05","<0.05","<1","<1","8","<1","<50","<0.1","7","96","2.5","<1","446","<1","<0.01","101","8","260000","null","0.4","<0.01","90","<1","<10","<1","<2","<1","0.47","0.005","<0.5","0.078","8","<0.2","0.2","18","<1","<0.02","4.4","<1","0.21","2","0.08","340","110","5.3","<2","26.9","10","100000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-08-08","1","0.5","60","0.05","<0.05","<1","<1","7","<1","<50","<0.1","9","100","1.7","<1","450","1","<0.01","100","7.9","54000","null","0.3","<0.01","110","<1","<10","<1","<2","<1","0.41","0.02","<0.5","0.067","7.6","<0.2","0.2","18","<1","<0.02","3.2","<1","0.29","2","0.08","340","72","5.8","<2","27.4","<10","42000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-09-19","1","<0.1","<50","<0.005","0.07","<1","<1","9","<1","200","<0.1","11","920","0.5","<1","2943","1","<0.01","100","7.9","19000","null","0.4","<0.01","100","<1","10","<1","<2","<1","0.47","0.008","<0.5","0.063","7.6","0.7","1.5","17","<1","<0.02","3.4","<1","0.2","2","0.07","2400","820","5.6","<2","27","<10","10000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-10-24","1","0.7","<50","0.042","0.06","<1","<1","12","<1","720","<0.1","17","4400","0.9","1","7515","1","<0.01","99","8.5","90000","null","0.5","<0.01","<50","<1","<10","<1","3","2","0.57","0.014","<0.5","0.055","7.8","0.9","4.4","14","<1","<0.02","4.7","<1","0.16","1","0.07","9000","1800","6.6","<2","21.9","<10","11000"
